P0=(2.7, 0.0); dist=2.70
P1=(0.0, 3.1); dist=3.10
P2=(1.1, 2.8); dist=3.01
P3=(2.1, 4.0); dist=4.52
P4=(0.2, 4.6); dist=4.60
P5=(2.1, 4.1); dist=4.61
P6=(3.7, 3.4); dist=5.02
P7=(0.6, 5.1); dist=5.14
P8=(4.8, 2.2); dist=5.28
P9=(0.1, 5.5); dist=5.50
P10=(5.5, 1.1); dist=5.61
P11=(2.2, 5.2); dist=5.65
P12=(2.3, 0.5); dist=2.35
P13=(1.1, 5.8); dist=5.90
P14=(4.5, 4.2); dist=6.16
P15=(6.4, 1.6); dist=6.60
P16=(3.6, 5.7); dist=6.74
P17=(5.2, 4.3); dist=6.75
P18=(5.8, 3.5); dist=6.77
P19=(4.6, 5.0); dist=6.79
P20=(6.6, 2.5); dist=7.06
P21=(7.0, 1.9); dist=7.25
P22=(4.6, 6.0); dist=7.56
P23=(3.5, 7.3); dist=8.10
P24=(7.1, 4.0); dist=8.15
P25=(8.3, 1.9); dist=8.51
P26=(2.3, 8.9); dist=9.19
P27=(2.1, 9.0); dist=9.24
P28=(5.5, 7.6); dist=9.38
P29=(9.7, 0.3); dist=9.70
P30=(6.6, 7.3); dist=9.84
P31=(6.1, 0.8); dist=6.15
P32=(7.3, 7.7); dist=10.61
P33=(9.1, 6.3); dist=11.07
P34=(3.9, 10.5); dist=11.20
P35=(6.8, 9.3); dist=11.52
P36=(11.6, 1.5); dist=11.70
P37=(5.2, 10.5); dist=11.72
P38=(9.5, 7.1); dist=11.86
P39=(11.6, 3.9); dist=12.24
P40=(10.8, 5.9); dist=12.31
P41=(11.0, 5.6); dist=12.34
P42=(11.6, 4.4); dist=12.41
P43=(10.5, 6.9); dist=12.56
P44=(9.8, 8.3); dist=12.84
P45=(11.6, 6.0); dist=13.06
P46=(8.1, 10.3); dist=13.10
P47=(1.7, 13.0); dist=13.11
P48=(9.8, 8.9); dist=13.24
P49=(10.7, 7.8); dist=13.24
P50=(3.4, 12.8); dist=13.24
P51=(13.3, 0.0); dist=13.30
P52=(12.4, 5.0); dist=13.37
P53=(7.9, 11.0); dist=13.54
P54=(3.1, 13.4); dist=13.75
P55=(6.2, 12.5); dist=13.95
P56=(14.5, 1.0); dist=14.53
P57=(11.3, 9.3); dist=14.63
P58=(12.1, 8.6); dist=14.84
P59=(3.0, 14.6); dist=14.91
P60=(0.1, 15.0); dist=15.00
P61=(13.0, 7.5); dist=15.01
P62=(6.2, 13.7); dist=15.04
P63=(10.8, 10.6); dist=15.13
P64=(7.6, 13.2); dist=15.23
P65=(1.5, 15.6); dist=15.67
P66=(8.9, 12.9); dist=15.67
P67=(12.8, 9.4); dist=15.88
P68=(12.4, 10.3); dist=16.12
P69=(10.3, 12.4); dist=16.12
P70=(12.6, 10.4); dist=16.34
P71=(14.3, 8.2); dist=16.48
P72=(12.6, 10.7); dist=16.53
P73=(16.6, 0.2); dist=16.60
P74=(0.4, 16.8); dist=16.80
P75=(16.7, 2.4); dist=16.87
P76=(2.5, 16.8); dist=16.98
P77=(16.5, 4.4); dist=17.08
P78=(3.9, 16.8); dist=17.25
P79=(9.7, 14.4); dist=17.36
P80=(11.5, 13.2); dist=17.51
P81=(2.3, 17.4); dist=17.55
P82=(12.4, 12.5); dist=17.61
P83=(15.7, 8.1); dist=17.67
P84=(17.8, 0.3); dist=17.80
P85=(15.3, 9.2); dist=17.85
P86=(15.7, 8.5); dist=17.85
P87=(17.9, 0.2); dist=17.90
P88=(9.8, 15.1); dist=18.00
P89=(10.3, 14.8); dist=18.03
P90=(1.5, 18.0); dist=18.06
P91=(18.1, 0.5); dist=18.11
P92=(15.6, 9.2); dist=18.11
P93=(18.2, 0.0); dist=18.20
P94=(6.1, 17.2); dist=18.25
P95=(15.2, 10.2); dist=18.31
P96=(8.8, 16.2); dist=18.44
P97=(1.6, 18.4); dist=18.47
P98=(9.6, 15.9); dist=18.57
P99=(18.6, 2.6); dist=18.78
P100=(1.5, 18.8); dist=18.86
P101=(9.6, 16.9); dist=19.44
P102=(9.6, 16.9); dist=19.44
P103=(13.1, 14.4); dist=19.47
P104=(12.6, 15.1); dist=0.00
P105=(0.0, -1798340481333075472253983783626211328.0); dist=15.73
P106=(-0.0, 0.0); dist=-0.00
P107=(0.0, -0.0); dist=0.00
P108=(-0.0, 0.0); dist=-0.00
P109=(0.0, -0.0); dist=0.00
P110=(-0.0, 0.0); dist=-0.00
P111=(0.0, 0.0); dist=0.00
P112=(0.0, 0.0); dist=0.00
P113=(0.0, 0.0); dist=0.00
P114=(0.0, 0.0); dist=0.00
P115=(0.0, 18.0); dist=20.26
P116=(12.1, 16.5); dist=0.00
P117=(0.0, -nan); dist=-nan
P118=(12.3, 16.4); dist=0.00
P119=(0.0, 0.0); dist=0.00
P120=(16.5, 12.3); dist=20.58
P121=(19.8, -nan); dist=20.72
P122=(15.5, 14.2); dist=21.02
P123=(4.6, -0.0); dist=0.00
P124=(0.0, 0.0); dist=0.00
P125=(0.0, 0.0); dist=0.00
P126=(0.0, 0.0); dist=0.00
P127=(0.0, 0.0); dist=0.00
P128=(0.0, 0.0); dist=0.00
P129=(0.0, 0.0); dist=0.00
P130=(0.0, 0.0); dist=0.00
P131=(0.0, 0.0); dist=0.00
P132=(0.0, 0.0); dist=22.22
P133=(19.6, 10.7); dist=22.33
P134=(14.7, 17.3); dist=22.70
P135=(13.4, 18.7); dist=23.01
P136=(12.8, 19.2); dist=23.08
P137=(18.8, 13.4); dist=23.09
P138=(9.9, 20.9); dist=23.13
P139=(14.4, 18.8); dist=23.68
P140=(19.6, 12.3); dist=23.14
P141=(18.3, 15.2); dist=23.79
P142=(13.8, 19.4); dist=23.81
P143=(16.5, 17.2); dist=23.83
P144=(16.2, 17.7); dist=23.99
P145=(13.5, 19.9); dist=24.05
P146=(20.3, 13.1); dist=24.16
P147=(14.4, 19.6); dist=24.32
P148=(19.8, 14.4); dist=24.48
P149=(17.3, 17.4); dist=24.54
P150=(19.6, 15.7); dist=25.11
P151=(19.8, 15.5); dist=25.15
P152=(-0.0, 0.0); dist=19.67
P153=(2.0, 18.0); dist=25.96
P154=(19.5, 18.1); dist=26.61
P155=(19.2, 19.2); dist=27.15
